Bathrooms,Bedrooms,Condition,Date,Floors,Grade,Id,Nearest,View,Waterfront,Yr Built,Yr Renovated,Zipcode,Lat,Long,Price,Sqft Above,Sqft Basement,Sqft Living,Sqft Living15,Sqft Lot,Sqft Lot15
3,6,3,9/16/2014,2,7,1000102,Farthest,0,0,1/1/1991,0,98002,47.3262,-122.214,280000,2400,0,2400,2060,9373,7316
3,6,3,4/22/2015,2,7,1000102,Farthest,0,0,1/1/1991,0,98002,47.3262,-122.214,300000,2400,0,2400,2060,9373,7316
1.75,4,4,5/8/2014,1,8,1200019,Mid_Farthest,0,0,1/1/1947,0,98166,47.4444,-122.351,647500,1160,900,2060,2590,26036,21891
1,3,3,8/11/2014,1,7,1200021,Mid_Farthest,0,0,1/1/1952,0,98166,47.4434,-122.347,400000,1460,0,1460,2250,43000,20023
1,3,4,4/1/2015,1.5,6,2800031,Mid_Farthest,0,0,1/1/1930,0,98168,47.4783,-122.265,235000,1010,420,1430,1290,7599,10320
2,4,3,3/19/2015,1,7,3600057,Nearest,0,0,1/1/1951,2013,98144,47.5803,-122.294,402500,760,890,1650,1480,3504,3504
2.75,4,5,3/30/2015,1,7,3600072,Nearest,0,0,1/1/1951,0,98144,47.5801,-122.294,680000,1170,1050,2220,1540,5310,4200
1.5,5,3,2/24/2015,1,7,3800008,Mid_Nearest,0,0,1/1/1960,0,98178,47.4938,-122.262,178000,1990,0,1990,1860,18200,8658
2.5,4,3,7/9/2014,2,9,5200087,Mid_Nearest,0,0,1/1/2005,0,98108,47.5423,-122.302,487000,2540,0,2540,2360,5001,6834
1,3,4,11/12/2014,1.5,5,6200017,Mid_Farthest,0,0,1/1/1945,0,98032,47.4023,-122.273,281000,1340,0,1340,1340,21336,37703
2,4,2,11/4/2014,1.5,6,7200080,Mid_Nearest,0,0,1/1/1924,0,98055,47.4836,-122.214,239000,1980,0,1980,1360,10585,7810
1,2,3,10/16/2014,1,6,7200179,Mid_Nearest,0,0,1/1/1925,0,98055,47.484,-122.211,150000,840,0,840,1480,12750,6969
1,2,3,4/24/2015,1,6,7200179,Mid_Nearest,0,0,1/1/1925,0,98055,47.484,-122.211,175000,840,0,840,1480,12750,6969
1,2,4,5/21/2014,1,6,7400062,Nearest,0,0,1/1/1925,0,98118,47.5303,-122.288,299800,790,0,790,1430,5240,5320
2,3,4,8/5/2014,2,7,7600057,Nearest,0,0,1/1/1902,0,98122,47.6029,-122.302,520000,1410,0,1410,1750,2700,4000
2.25,3,3,6/5/2014,2,9,7600065,Nearest,0,0,1/1/2014,0,98122,47.6018,-122.297,465000,1050,480,1530,1530,1245,2307
1,5,3,12/18/2014,2,7,7600125,Nearest,0,0,1/1/1901,0,98122,47.6025,-122.313,630000,3020,0,3020,1350,4800,1307
2,2,3,7/18/2014,2,9,7600136,Nearest,0,0,1/1/2007,0,98122,47.6023,-122.314,411000,800,330,1130,1350,1148,1201
1,2,4,12/3/2014,2,7,9000025,Nearest,0,0,1/1/1941,1973,98115,47.68,-122.304,496000,1420,0,1420,1810,4635,4635
2.5,3,3,7/21/2014,2,8,11200070,Mid_Nearest,0,0,1/1/1998,0,98007,47.6181,-122.138,570000,1530,0,1530,1530,3296,4099
2.5,3,3,6/9/2014,2,8,11200290,Mid_Nearest,0,0,1/1/1998,0,98007,47.6179,-122.141,546000,1530,0,1530,1530,3464,3446
2.5,3,3,9/23/2014,2,8,11200400,Mid_Nearest,0,0,1/1/1998,0,98007,47.6176,-122.14,617000,1910,0,1910,1530,4488,3696
2.5,3,3,6/30/2014,2,8,11300120,Nearest,0,0,1/1/2005,0,98034,47.7277,-122.207,635000,2550,800,3350,2340,4007,4167
2.5,3,3,4/28/2015,2,10,11500240,Mid_Nearest,0,0,1/1/1991,0,98052,47.6944,-122.102,872750,2870,0,2870,2840,13695,8472
2.5,3,3,3/12/2015,2,10,11500890,Mid_Nearest,0,0,1/1/1991,0,98052,47.6954,-122.103,843000,3130,0,3130,2860,8750,9003
2.75,5,3,6/17/2014,2,10,11501160,Mid_Nearest,0,0,1/1/1994,0,98052,47.696,-122.102,837700,3010,0,3010,2890,12611,9456
3.25,3,3,11/21/2014,2,10,11501310,Mid_Nearest,0,0,1/1/1994,0,98052,47.6971,-122.101,715000,2460,600,3060,2990,9055,9598
3.5,3,3,9/2/2014,2,10,11501330,Mid_Nearest,0,0,1/1/1994,0,98052,47.6968,-122.102,795000,2560,630,3190,3120,10223,9735
2.75,4,3,9/5/2014,2,9,11510310,Mid_Nearest,0,0,1/1/1993,0,98052,47.6993,-122.102,835000,2140,990,3130,2260,13412,9984
2.5,4,3,5/19/2014,2,9,11510700,Mid_Nearest,0,0,1/1/1993,0,98052,47.6972,-122.104,755000,2660,0,2660,2890,10452,9025
2.5,4,3,6/24/2014,2,9,11520030,Mid_Nearest,0,0,1/1/1997,0,98052,47.6993,-122.115,640000,2341,0,2341,2850,9594,9421
2.5,4,3,10/15/2014,2,9,11520200,Mid_Nearest,0,0,1/1/1997,0,98052,47.6989,-122.111,750000,2540,480,3020,3020,13122,10873
2.5,3,3,12/29/2014,2,9,11520370,Mid_Nearest,0,0,1/1/1995,0,98052,47.6972,-122.116,738000,2620,0,2620,2620,9112,9067
2.75,4,3,8/1/2014,2,9,11520640,Mid_Nearest,0,0,1/1/1996,0,98052,47.6979,-122.112,810000,3010,0,3010,3010,10450,10530
2.5,3,3,5/9/2014,2,8,11900140,Farthest,0,0,1/1/2003,0,98042,47.3755,-122.136,254000,1850,0,1850,2210,4597,5000
1,3,4,3/5/2015,1,7,13001215,Mid_Nearest,0,0,1/1/1913,0,98108,47.5231,-122.332,130000,1100,0,1100,1450,5100,5100
2.75,4,4,10/14/2014,1.5,7,13001795,Mid_Nearest,0,0,1/1/1907,0,98108,47.523,-122.332,319500,1420,1080,2500,1430,5100,5100
